variant,N,D,W,k_fraction,alpha,threshold_combined,total_shots,accepted_shots,acceptance_probability,TTS,probe_pass_rate,batch_aborted,mean_score
global,1,2,2,,,,5000,3676,0.7352,1.3601741022850926,0.307,False,
hierarchical,1,2,2,0.8,,,5000,3676,0.7352,1.3601741022850926,0.307,False,
hierarchical,1,2,2,0.9,,,5000,3676,0.7352,1.3601741022850926,0.307,False,
score_fusion,1,2,2,,0.3,0.65,5000,3676,0.7352,1.3601741022850926,0.307,False,0.82442
score_fusion,1,2,2,,0.7,0.65,5000,4232,0.8464,1.1814744801512287,0.307,False,0.83698
global,1,4,2,,,,5000,328,0.0656,15.243902439024389,0.104,False,
hierarchical,1,4,2,0.8,,,5000,328,0.0656,15.243902439024389,0.104,False,
hierarchical,1,4,2,0.9,,,5000,328,0.0656,15.243902439024389,0.104,False,
score_fusion,1,4,2,,0.3,0.65,5000,328,0.0656,15.243902439024389,0.104,False,0.2107
score_fusion,1,4,2,,0.7,0.65,5000,532,0.1064,9.398496240601505,0.104,False,0.1511
global,1,8,2,,,,5000,421,0.0842,11.876484560570072,0.101,False,
hierarchical,1,8,2,0.8,,,5000,421,0.0842,11.876484560570072,0.101,False,
hierarchical,1,8,2,0.9,,,5000,421,0.0842,11.876484560570072,0.101,False,
score_fusion,1,8,2,,0.3,0.65,5000,421,0.0842,11.876484560570072,0.101,False,0.6151
score_fusion,1,8,2,,0.7,0.65,5000,4087,0.8174,1.223391240518718,0.101,False,0.7306999999999998
global,1,2,4,,,,5000,408,0.0816,12.254901960784313,0.304,False,
hierarchical,1,2,4,0.8,,,5000,408,0.0816,12.254901960784313,0.304,False,
hierarchical,1,2,4,0.9,,,5000,408,0.0816,12.254901960784313,0.304,False,
score_fusion,1,2,4,,0.3,0.65,5000,2324,0.4648,2.1514629948364887,0.304,False,0.589615
score_fusion,1,2,4,,0.7,0.65,5000,2193,0.4386,2.279981760145919,0.304,False,0.635835
global,1,4,4,,,,5000,85,0.017,58.8235294117647,0.092,False,
hierarchical,1,4,4,0.8,,,5000,85,0.017,58.8235294117647,0.092,False,
hierarchical,1,4,4,0.9,,,5000,85,0.017,58.8235294117647,0.092,False,
score_fusion,1,4,4,,0.3,0.65,5000,1172,0.2344,4.266211604095563,0.092,False,0.43390500000000004
score_fusion,1,4,4,,0.7,0.65,5000,190,0.038,26.315789473684212,0.092,False,0.409445
global,1,8,4,,,,5000,230,0.046,21.73913043478261,0.099,False,
hierarchical,1,8,4,0.8,,,5000,230,0.046,21.73913043478261,0.099,False,
hierarchical,1,8,4,0.9,,,5000,230,0.046,21.73913043478261,0.099,False,
score_fusion,1,8,4,,0.3,0.65,5000,1816,0.3632,2.753303964757709,0.099,False,0.5184599999999999
score_fusion,1,8,4,,0.7,0.65,5000,1442,0.2884,3.4674063800277395,0.099,False,0.52974
global,2,2,2,,,,5000,20,0.004,250.0,0.103,False,
hierarchical,2,2,2,0.8,,,5000,20,0.004,250.0,0.103,False,
hierarchical,2,2,2,0.9,,,5000,20,0.004,250.0,0.103,False,
score_fusion,2,2,2,,0.3,0.65,5000,1183,0.2366,4.22654268808115,0.103,False,0.4764799999999999
score_fusion,2,2,2,,0.7,0.65,5000,441,0.0882,11.337868480725623,0.103,False,0.44112000000000007
global,2,4,2,,,,5000,66,0.0132,75.75757575757576,0.137,False,
hierarchical,2,4,2,0.8,,,5000,66,0.0132,75.75757575757576,0.137,False,
hierarchical,2,4,2,0.9,,,5000,66,0.0132,75.75757575757576,0.137,False,
score_fusion,2,4,2,,0.3,0.65,5000,895,0.179,5.58659217877095,0.137,False,0.4641799999999999
score_fusion,2,4,2,,0.7,0.65,5000,903,0.1806,5.537098560354374,0.137,False,0.49362
global,2,8,2,,,,5000,41,0.0082,121.95121951219511,0.062,False,
hierarchical,2,8,2,0.8,,,5000,41,0.0082,121.95121951219511,0.062,False,
hierarchical,2,8,2,0.9,,,5000,41,0.0082,121.95121951219511,0.062,False,
score_fusion,2,8,2,,0.3,0.65,5000,697,0.1394,7.173601147776184,0.062,False,0.37405
score_fusion,2,8,2,,0.7,0.65,5000,359,0.0718,13.927576601671309,0.062,False,0.31705
global,2,2,4,,,,5000,24,0.0048,208.33333333333334,0.098,False,
hierarchical,2,2,4,0.8,,,5000,24,0.0048,208.33333333333334,0.098,False,
hierarchical,2,2,4,0.9,,,5000,24,0.0048,208.33333333333334,0.098,False,
score_fusion,2,2,4,,0.3,0.65,5000,1590,0.318,3.144654088050314,0.098,False,0.548765
score_fusion,2,2,4,,0.7,0.65,5000,2009,0.4018,2.4888003982080638,0.098,False,0.5701849999999999
global,2,4,4,,,,5000,6,0.0012,833.3333333333334,0.103,False,
hierarchical,2,4,4,0.8,,,5000,6,0.0012,833.3333333333334,0.103,False,
hierarchical,2,4,4,0.9,,,5000,6,0.0012,833.3333333333334,0.103,False,
score_fusion,2,4,4,,0.3,0.65,5000,1275,0.255,3.9215686274509802,0.103,False,0.511065
score_fusion,2,4,4,,0.7,0.65,5000,1096,0.2192,4.562043795620438,0.103,False,0.47788500000000006
global,2,8,4,,,,5000,236,0.0472,21.186440677966104,0.081,False,
hierarchical,2,8,4,0.8,,,5000,236,0.0472,21.186440677966104,0.081,False,
hierarchical,2,8,4,0.9,,,5000,236,0.0472,21.186440677966104,0.081,False,
score_fusion,2,8,4,,0.3,0.65,5000,1901,0.3802,2.630194634402946,0.081,False,0.5348474999999999
score_fusion,2,8,4,,0.7,0.65,5000,2062,0.4124,2.4248302618816684,0.081,False,0.5592775
global,4,2,2,,,,5000,42,0.0084,119.04761904761905,0.007,False,
hierarchical,4,2,2,0.8,,,5000,42,0.0084,119.04761904761905,0.007,False,
hierarchical,4,2,2,0.9,,,5000,42,0.0084,119.04761904761905,0.007,False,
score_fusion,4,2,2,,0.3,0.65,5000,1852,0.3704,2.699784017278618,0.007,False,0.55481
score_fusion,4,2,2,,0.7,0.65,5000,2081,0.4162,2.4026910139356077,0.007,False,0.5644899999999999
global,4,4,2,,,,5000,13,0.0026,384.61538461538464,0.009,False,
hierarchical,4,4,2,0.8,,,5000,13,0.0026,384.61538461538464,0.009,False,
hierarchical,4,4,2,0.9,,,5000,13,0.0026,384.61538461538464,0.009,False,
score_fusion,4,4,2,,0.3,0.65,5000,1697,0.3394,2.946375957572186,0.009,False,0.5509
score_fusion,4,4,2,,0.7,0.65,5000,1917,0.3834,2.608242044861763,0.009,False,0.5593
global,4,8,2,,,,5000,12,0.0024,416.6666666666667,0.068,False,
hierarchical,4,8,2,0.8,,,5000,12,0.0024,416.6666666666667,0.068,False,
hierarchical,4,8,2,0.9,,,5000,12,0.0024,416.6666666666667,0.068,False,
score_fusion,4,8,2,,0.3,0.65,5000,1136,0.2272,4.401408450704225,0.068,False,0.4945
score_fusion,4,8,2,,0.7,0.65,5000,1332,0.2664,3.7537537537537533,0.068,False,0.4885
global,4,2,4,,,,5000,1,0.0002,5000.0,0.004,False,
hierarchical,4,2,4,0.8,,,5000,1,0.0002,5000.0,0.004,False,
hierarchical,4,2,4,0.9,,,5000,1,0.0002,5000.0,0.004,False,
score_fusion,4,2,4,,0.3,0.65,5000,1056,0.2112,4.734848484848485,0.004,False,0.5406224999999999
score_fusion,4,2,4,,0.7,0.65,5000,1226,0.2452,4.078303425774878,0.004,False,0.5479525
global,4,4,4,,,,5000,0,0.0,inf,0.009,False,
hierarchical,4,4,4,0.8,,,5000,0,0.0,inf,0.009,False,
hierarchical,4,4,4,0.9,,,5000,0,0.0,inf,0.009,False,
score_fusion,4,4,4,,0.3,0.65,5000,556,0.1112,8.992805755395684,0.009,False,0.4910737499999999
score_fusion,4,4,4,,0.7,0.65,5000,608,0.1216,8.223684210526315,0.009,False,0.48728875000000005
global,4,8,4,,,,5000,0,0.0,inf,0.08,False,
hierarchical,4,8,4,0.8,,,5000,0,0.0,inf,0.08,False,
hierarchical,4,8,4,0.9,,,5000,0,0.0,inf,0.08,False,
score_fusion,4,8,4,,0.3,0.65,5000,487,0.0974,10.26694045174538,0.08,False,0.48155125
score_fusion,4,8,4,,0.7,0.65,5000,539,0.1078,9.276437847866418,0.08,False,0.47553624999999994
global,8,2,2,,,,5000,0,0.0,inf,0.0,False,
hierarchical,8,2,2,0.8,,,5000,4,0.0008,1250.0,0.0,False,
hierarchical,8,2,2,0.9,,,5000,0,0.0,inf,0.0,False,
score_fusion,8,2,2,,0.3,0.65,5000,629,0.1258,7.94912559618442,0.0,False,0.49787250000000005
score_fusion,8,2,2,,0.7,0.65,5000,474,0.0948,10.548523206751055,0.0,False,0.47900249999999994
global,8,4,2,,,,5000,0,0.0,inf,0.0,False,
hierarchical,8,4,2,0.8,,,5000,10,0.002,500.0,0.0,False,
hierarchical,8,4,2,0.9,,,5000,0,0.0,inf,0.0,False,
score_fusion,8,4,2,,0.3,0.65,5000,576,0.1152,8.680555555555555,0.0,False,0.49181375
score_fusion,8,4,2,,0.7,0.65,5000,569,0.1138,8.787346221441124,0.0,False,0.48444875000000004
global,8,8,2,,,,5000,0,0.0,inf,0.002,False,
hierarchical,8,8,2,0.8,,,5000,0,0.0,inf,0.002,False,
hierarchical,8,8,2,0.9,,,5000,0,0.0,inf,0.002,False,
score_fusion,8,8,2,,0.3,0.65,5000,287,0.0574,17.421602787456447,0.002,False,0.46437875000000006
score_fusion,8,8,2,,0.7,0.65,5000,331,0.0662,15.105740181268883,0.002,False,0.44633375
global,8,2,4,,,,5000,0,0.0,inf,0.001,False,
hierarchical,8,2,4,0.8,,,5000,0,0.0,inf,0.001,False,
hierarchical,8,2,4,0.9,,,5000,0,0.0,inf,0.001,False,
score_fusion,8,2,4,,0.3,0.65,5000,222,0.0444,22.52252252252252,0.001,False,0.501015625
score_fusion,8,2,4,,0.7,0.65,5000,362,0.0724,13.812154696132595,0.001,False,0.494428125
global,8,4,4,,,,5000,0,0.0,inf,0.0,False,
hierarchical,8,4,4,0.8,,,5000,0,0.0,inf,0.0,False,
hierarchical,8,4,4,0.9,,,5000,0,0.0,inf,0.0,False,
score_fusion,8,4,4,,0.3,0.65,5000,312,0.0624,16.025641025641026,0.0,False,0.51515
score_fusion,8,4,4,,0.7,0.65,5000,490,0.098,10.204081632653061,0.0,False,0.51255
global,8,8,4,,,,5000,0,0.0,inf,0.0,False,
hierarchical,8,8,4,0.8,,,5000,0,0.0,inf,0.0,False,
hierarchical,8,8,4,0.9,,,5000,0,0.0,inf,0.0,False,
score_fusion,8,8,4,,0.3,0.65,5000,175,0.035,28.57142857142857,0.0,False,0.500961875
score_fusion,8,8,4,,0.7,0.65,5000,360,0.072,13.88888888888889,0.0,False,0.500369375
